站号,经度,纬度,海拔,年,月,日,均温,高温,低温,20-8降水,8-20降水,20-20降水,小型蒸发量,大型蒸发量,平均风速,最大风速,最大风速时风向,极大风速,极大风速时风向,日照时数,均地温,高地温,低地温,平均湿度,最小湿度,平均气压,最高气压,最低气压,
50434,5030,12128,9936,1957,2,14,-213,-155,-251,31009,31006,31015,1,32766,0,32766,,32766,,27,-209,-114,-266,80,32766,9335,32766,32766,
50434,5030,12128,9936,1957,2,15,-203,-108,-262,31004,31001,31005,4,32766,0,32766,,32766,,80,-224,-88,-318,77,32766,9392,32766,32766,
50434,5030,12128,9936,1957,2,16,-289,-205,-374,32700,32700,32700,1,32766,20,32766,,32766,,51,-299,-146,-400,81,32766,9394,32766,32766,
50434,5030,12128,9936,1957,2,17,-301,-199,-377,32700,0,32700,2,32766,25,32766,,32766,,89,-307,-137,-393,79,32766,9363,32766,32766,
50434,5030,12128,9936,1957,2,18,-312,-202,-426,0,0,0,3,32766,13,32766,,32766,,90,-339,-153,-460,71,32766,9355,32766,32766,
50434,5030,12128,9936,1957,2,19,-314,-203,-397,0,0,0,3,32766,13,32766,,32766,,73,-326,-138,-440,74,32766,9310,32766,32766,
50434,5030,12128,9936,1957,2,20,-306,-206,-414,32700,0,32700,2,32766,0,32766,,32766,,90,-329,-119,-455,76,32766,9306,32766,32766,
50434,5030,12128,9936,1957,2,21,-321,-216,-424,0,0,0,2,32766,10,32766,,32766,,86,-336,-127,-455,77,32766,9344,32766,32766,
50434,5030,12128,9936,1957,2,22,-313,-208,-421,0,0,0,2,32766,13,32766,,32766,,85,-328,-117,-452,74,32766,9393,32766,32766,
50434,5030,12128,9936,1957,2,23,-322,-218,-421,0,0,0,3,32766,8,32766,,32766,,90,-335,-132,-455,76,32766,9401,32766,32766,
50434,5030,12128,9936,1957,2,24,-316,-225,-410,0,0,0,2,32766,30,32766,,32766,,91,-326,-152,-430,77,32766,9351,32766,32766,
50434,5030,12128,9936,1957,2,25,-324,-209,-421,0,31001,31001,4,32766,10,32766,,32766,,88,-337,-131,-460,74,32766,9329,32766,32766,
50434,5030,12128,9936,1957,2,26,-288,-212,-366,31004,32700,31004,3,32766,30,32766,,32766,,84,-282,-126,-398,75,32766,9334,32766,32766,
50434,5030,12128,9936,1957,2,27,-298,-195,-387,32700,32700,32700,3,32766,5,32766,,32766,,77,-322,-106,-430,76,32766,9367,32766,32766,
50434,5030,12128,9936,1957,2,28,-297,-193,-389,0,0,0,3,32766,8,32766,,32766,,93,-305,-82,-426,77,32766,9413,32766,32766,
50434,5030,12128,9936,1957,3,1,-266,-97,-385,0,0,0,5,32766,8,32766,,32766,,84,-295,-71,-425,69,32766,9406,32766,32766,
50434,5030,12128,9936,1957,3,2,-213,-110,-349,0,31001,31001,7,32766,28,32766,,32766,,60,-248,-86,-389,76,32766,9348,32766,32766,
50434,5030,12128,9936,1957,3,3,-117,-53,-151,31007,32700,31007,10,32766,13,32766,,32766,,84,-161,-41,-245,64,32766,9301,32766,32766,
50434,5030,12128,9936,1957,3,4,-216,-102,-321,0,0,0,7,32766,23,32766,,32766,,92,-242,-43,-366,69,32766,9345,32766,32766,
50434,5030,12128,9936,1957,3,5,-262,-167,-367,0,0,0,4,32766,15,32766,,32766,,89,-283,-62,-410,77,32766,9332,32766,32766,
50434,5030,12128,9936,1957,3,6,-253,-174,-314,31004,32700,31004,3,32766,15,32766,,32766,,93,-262,-101,-350,81,32766,9326,32766,32766,
50434,5030,12128,9936,1957,3,7,-266,-150,-363,31004,32700,31004,5,32766,5,32766,,32766,,95,-290,-89,-400,77,32766,9331,32766,32766,
50434,5030,12128,9936,1957,3,8,-281,-141,-399,0,32700,32700,5,32766,8,32766,,32766,,94,-309,-71,-443,74,32766,9315,32766,32766,
50434,5030,12128,9936,1957,3,9,-272,-142,-397,32700,0,32700,7,32766,0,32766,,32766,,97,-308,-58,-445,69,32766,9351,32766,32766,
50434,5030,12128,9936,1957,3,10,-279,-152,-397,0,0,0,5,32766,5,32766,,32766,,98,-301,-59,-449,70,32766,9379,32766,32766,
50434,5030,12128,9936,1957,3,11,-294,-177,-412,0,0,0,5,32766,13,32766,,32766,,97,-314,-90,-470,73,32766,9400,32766,32766,
50434,5030,12128,9936,1957,3,12,-277,-174,-389,0,0,0,4,32766,15,32766,,32766,,103,-294,-87,-446,75,32766,9422,32766,32766,
50434,5030,12128,9936,1957,3,13,-274,-170,-392,0,0,0,5,32766,25,32766,,32766,,100,-279,-65,-425,73,32766,9414,32766,32766,
50434,5030,12128,9936,1957,3,14,-259,-132,-376,0,0,0,7,32766,5,32766,,32766,,104,-255,-6,-409,69,32766,9410,32766,32766,
50434,5030,12128,9936,1957,3,15,-194,-80,-300,0,0,0,9,32766,10,32766,,32766,,107,-217,29,-330,69,32766,9351,32766,32766,
50434,5030,12128,9936,1957,3,16,-186,-69,-315,0,0,0,9,32766,5,32766,,32766,,101,-199,24,-348,76,32766,9325,32766,32766,
50434,5030,12128,9936,1957,3,17,-171,-56,-304,0,0,0,10,32766,13,32766,,32766,,97,-183,19,-328,75,32766,9272,32766,32766,
50434,5030,12128,9936,1957,3,18,-101,-40,-158,31026,31002,31028,9,32766,30,32766,,32766,,47,-102,44,-185,82,32766,9230,32766,32766,
50434,5030,12128,9936,1957,3,19,-115,-53,-180,31001,32700,31001,11,32766,18,32766,,32766,,88,-146,1,-232,69,32766,9277,32766,32766,
50434,5030,12128,9936,1957,3,20,-160,-90,-208,31002,0,31002,10,32766,48,32766,,32766,,103,-173,-74,-256,56,32766,9334,32766,32766,
50434,5030,12128,9936,1957,3,21,-204,-92,-331,0,0,0,9,32766,28,32766,,32766,,107,-218,-23,-366,66,32766,9381,32766,32766,
50434,5030,12128,9936,1957,3,22,-174,-68,-275,0,32700,32700,9,32766,20,32766,,32766,,102,-174,44,-307,78,32766,9340,32766,32766,
50434,5030,12128,9936,1957,3,23,-120,-59,-197,31007,32700,31007,11,32766,15,32766,,32766,,98,-137,29,-220,67,32766,9326,32766,32766,
50434,5030,12128,9936,1957,3,24,-178,-81,-266,0,31001,31001,8,32766,13,32766,,32766,,60,-189,8,-300,78,32766,9339,32766,32766,
50434,5030,12128,9936,1957,3,25,-161,-40,-304,32700,0,32700,10,32766,20,32766,,32766,,104,-186,29,-330,70,32766,9354,32766,32766,
50434,5030,12128,9936,1957,3,26,-117,-2,-260,0,0,0,14,32766,20,32766,,32766,,105,-132,58,-289,72,32766,9334,32766,32766,
50434,5030,12128,9936,1957,3,27,-75,-19,-189,32700,0,32700,15,32766,18,32766,,32766,,107,-91,64,-226,75,32766,9314,32766,32766,
50434,5030,12128,9936,1957,3,28,-92,-34,-154,0,32700,32700,14,32766,35,32766,,32766,,47,-101,58,-180,69,32766,9209,32766,32766,
50434,5030,12128,9936,1957,3,29,-113,-75,-168,0,0,0,13,32766,53,32766,,32766,,73,-131,9,-225,57,32766,9206,32766,32766,
50434,5030,12128,9936,1957,3,30,-96,-61,-136,31003,32700,31003,16,32766,33,32766,,32766,,73,-93,29,-200,68,32766,9241,32766,32766,
50434,5030,12128,9936,1957,3,31,-84,-32,-146,0,32700,32700,15,32766,20,32766,,32766,,92,-101,59,-215,60,32766,9317,32766,32766,
50434,5030,12128,9936,1957,4,1,-118,-13,-241,0,0,0,17,32766,15,32766,,32766,,113,-126,44,-275,62,32766,9354,32766,32766,
50434,5030,12128,9936,1957,4,2,-107,12,-242,0,0,0,14,32766,28,32766,,32766,,112,-118,74,-260,70,32766,9349,32766,32766,
50434,5030,12128,9936,1957,4,3,-51,46,-139,0,0,0,13,32766,0,32766,,32766,,64,-62,68,-163,78,32766,9241,32766,32766,
50434,5030,12128,9936,1957,4,4,10,61,-60,0,0,0,24,32766,28,32766,,32766,,77,-8,82,-85,68,32766,9229,32766,32766,
50434,5030,12128,9936,1957,4,5,-4,97,-120,0,0,0,26,32766,25,32766,,32766,,102,-7,179,-116,67,32766,9264,32766,32766,
50434,5030,12128,9936,1957,4,6,29,99,-34,4,0,4,32,32766,28,32766,,32766,,104,33,172,-45,66,32766,9246,32766,32766,
50434,5030,12128,9936,1957,4,7,47,91,15,0,0,0,48,32766,43,32766,,32766,,68,36,153,-20,46,32766,9200,32766,32766,
50434,5030,12128,9936,1957,4,8,-45,83,-74,0,32700,32700,33,32766,68,32766,,32766,,83,-36,125,-90,42,32766,9307,32766,32766,
50434,5030,12128,9936,1957,4,9,-45,12,-110,0,0,0,25,32766,48,32766,,32766,,117,-21,137,-124,45,32766,9399,32766,32766,
50434,5030,12128,9936,1957,4,10,-8,73,-106,0,0,0,34,32766,38,32766,,32766,,57,-14,155,-105,44,32766,9316,32766,32766,
50434,5030,12128,9936,1957,4,11,10,76,-45,0,0,0,25,32766,10,32766,,32766,,28,34,192,-47,51,32766,9233,32766,32766,
50434,5030,12128,9936,1957,4,12,-12,38,-31,0,31009,31009,19,32766,20,32766,,32766,,16,4,109,-35,78,32766,9259,32766,32766,
50434,5030,12128,9936,1957,4,13,-11,34,-41,31009,32700,31009,26,32766,30,32766,,32766,,76,34,202,-46,53,32766,9299,32766,32766,
50434,5030,12128,9936,1957,4,14,-28,24,-70,31006,32700,31006,20,32766,23,32766,,32766,,77,28,192,-34,66,32766,9308,32766,32766,
50434,5030,12128,9936,1957,4,15,-37,19,-98,32700,31002,31002,8,32766,15,32766,,32766,,0,-4,104,-65,81,32766,9283,32766,32766,
50434,5030,12128,9936,1957,4,16,-2,101,-79,0,0,0,20,32766,30,32766,,32766,,44,3,168,-59,67,32766,9279,32766,32766,
50434,5030,12128,9936,1957,4,17,81,193,-11,0,0,0,89,32766,60,32766,,32766,,103,79,253,-30,48,32766,9154,32766,32766,
50434,5030,12128,9936,1957,4,18,-15,98,-56,0,0,0,58,32766,75,32766,,32766,,120,27,170,-63,28,32766,9249,32766,32766,
50434,5030,12128,9936,1957,4,19,-25,8,-54,0,0,0,23,32766,15,32766,,32766,,0,4,94,-36,38,32766,9250,32766,32766,
50434,5030,12128,9936,1957,4,20,-22,47,-99,0,31003,31003,17,32766,25,32766,,32766,,72,27,206,-81,60,32766,9225,32766,32766,
50434,5030,12128,9936,1957,4,21,-15,41,-60,31004,31001,31005,14,32766,28,32766,,32766,,35,19,230,-52,77,32766,9259,32766,32766,
50434,5030,12128,9936,1957,4,22,-15,63,-78,0,0,0,17,32766,5,32766,,32766,,16,23,247,-55,58,32766,9314,32766,32766,
50434,5030,12128,9936,1957,4,23,13,86,-54,0,0,0,24,32766,15,32766,,32766,,21,28,183,-35,51,32766,9292,32766,32766,
50434,5030,12128,9936,1957,4,24,18,98,-72,0,0,0,31,32766,10,32766,,32766,,52,42,252,-55,57,32766,9293,32766,32766,
50434,5030,12128,9936,1957,4,25,22,101,-60,0,0,0,30,32766,10,32766,,32766,,69,45,278,-61,52,32766,9241,32766,32766,
50434,5030,12128,9936,1957,4,26,-3,98,-67,0,31042,31042,24,32766,10,32766,,32766,,50,-2,317,-49,85,32766,9251,32766,32766,
50434,5030,12128,9936,1957,4,27,4,78,-50,0,31001,31001,26,32766,20,32766,,32766,,68,29,250,-70,69,32766,9286,32766,32766,
50434,5030,12128,9936,1957,4,28,17,125,-95,0,0,0,40,32766,13,32766,,32766,,91,60,259,-69,50,32766,9331,32766,32766,
50434,5030,12128,9936,1957,4,29,24,72,2,35,15,30050,18,32766,55,32766,,32766,,0,18,74,-1,74,32766,9220,32766,32766,
50434,5030,12128,9936,1957,4,30,11,31,-12,31056,31004,31060,30,32766,30,32766,,32766,,0,13,118,-10,76,32766,9213,32766,32766,
50434,5030,12128,9936,1957,5,1,34,96,-42,31001,32700,31001,27,32766,15,32766,,32766,,93,42,250,-49,67,28,9334,32766,32766,
50434,5030,12128,9936,1957,5,2,37,120,-49,0,32700,32700,37,32766,23,32766,,32766,,68,48,182,-30,69,29,9335,32766,32766,
50434,5030,12128,9936,1957,5,3,45,108,14,32700,47,47,22,32766,30,32766,,32766,,11,33,191,-10,79,50,9260,32766,32766,
50434,5030,12128,9936,1957,5,4,32,109,-25,32700,2,2,16,32766,23,32766,,32766,,34,32,172,-16,80,26,9199,32766,32766,
50434,5030,12128,9936,1957,5,5,64,138,-37,0,0,0,55,32766,28,32766,,32766,,124,63,247,-24,51,21,9225,32766,32766,
50434,5030,12128,9936,1957,5,6,59,156,-37,0,32700,32700,49,32766,30,32766,,32766,,60,68,243,-25,61,29,9215,32766,32766,
50434,5030,12128,9936,1957,5,7,80,180,-42,0,1,1,53,32766,28,32766,,32766,,102,93,268,-42,55,19,9173,32766,32766,
50434,5030,12128,9936,1957,5,8,22,120,-5,4,70,30074,6,32766,35,32766,,32766,,0,16,173,-4,82,54,9139,32766,32766,
50434,5030,12128,9936,1957,5,9,8,50,-27,31018,32700,31018,32,32766,45,32766,,32766,,23,40,189,-10,61,27,9212,32766,32766,
50434,5030,12128,9936,1957,5,10,16,81,-65,0,0,0,37,32766,28,32766,,32766,,94,45,233,-40,52,25,9299,32766,32766,
50434,5030,12128,9936,1957,5,11,56,122,-27,0,32700,32700,43,32766,8,32766,,32766,,94,87,248,-25,53,26,9288,32766,32766,
50434,5030,12128,9936,1957,5,12,100,181,-12,32700,0,32700,59,32766,30,32766,,32766,,127,110,310,-11,45,14,9246,32766,32766,
50434,5030,12128,9936,1957,5,13,103,218,-42,0,0,0,82,32766,13,32766,,32766,,125,111,314,-28,41,11,9231,32766,32766,
50434,5030,12128,9936,1957,5,14,124,248,-23,0,0,0,87,32766,25,32766,,32766,,116,32766,330,-19,39,11,9247,32766,32766,
50434,5030,12128,9936,1957,5,15,116,215,6,0,32700,32700,83,32766,48,32766,,32766,,68,88,263,-7,45,16,9190,32766,32766,
50434,5030,12128,9936,1957,5,16,83,146,6,0,0,0,80,32766,48,32766,,32766,,114,88,245,-29,22,17,9270,32766,32766,
50434,5030,12128,9936,1957,5,17,10,101,-56,0,32700,32700,14,32766,20,32766,,32766,,0,26,100,-31,68,35,9255,32766,32766,
50434,5030,12128,9936,1957,5,18,59,143,-52,0,0,0,52,32766,20,32766,,32766,,78,74,296,-25,53,19,9241,32766,32766,
50434,5030,12128,9936,1957,5,19,88,156,-13,0,2,2,47,32766,15,32766,,32766,,48,88,289,-15,49,29,9218,32766,32766,
50434,5030,12128,9936,1957,5,20,109,222,-45,0,0,0,70,32766,13,32766,,32766,,135,142,361,-37,51,20,9271,32766,32766,
50434,5030,12128,9936,1957,5,21,142,262,-7,0,10,10,99,32766,35,32766,,32766,,117,156,353,-10,46,17,9252,32766,32766,
50434,5030,12128,9936,1957,5,22,156,214,107,32700,20,20,73,32766,53,32766,,32766,,49,144,268,80,42,21,9195,32766,32766,
50434,5030,12128,9936,1957,5,23,93,172,60,32700,25,25,38,32766,18,32766,,32766,,55,100,302,50,75,44,9184,32766,32766,
50434,5030,12128,9936,1957,5,24,114,189,1,0,0,0,50,32766,18,32766,,32766,,109,145,330,-10,61,34,9260,32766,32766,
50434,5030,12128,9936,1957,5,25,127,232,-8,0,0,0,79,32766,18,32766,,32766,,117,167,365,-11,58,17,9288,32766,32766,
50434,5030,12128,9936,1957,5,26,124,198,35,0,24,24,51,32766,33,32766,,32766,,37,128,279,25,68,41,9260,32766,32766,
50434,5030,12128,9936,1957,5,27,113,208,47,77,1,78,55,32766,15,32766,,32766,,60,150,333,50,69,16,9238,32766,32766,
50434,5030,12128,9936,1957,5,28,110,194,-5,0,3,3,41,32766,18,32766,,32766,,78,159,354,-5,66,34,9231,32766,32766,
50434,5030,12128,9936,1957,5,29,90,188,17,0,10,10,44,32766,23,32766,,32766,,64,110,294,17,76,37,9215,32766,32766,
50434,5030,12128,9936,1957,5,30,50,120,-41,2,0,2,38,32766,8,32766,,32766,,83,91,294,-30,63,25,9244,32766,32766,
50434,5030,12128,9936,1957,5,31,73,114,23,78,28,106,29,32766,43,32766,,32766,,9,70,167,29,71,50,9207,32766,32766,
50434,5030,12128,9936,1957,6,1,70,190,-31,0,0,0,38,32766,10,32766,,32766,,73,32766,365,-30,74,30,9320,32766,32766,
50434,5030,12128,9936,1957,6,2,121,188,21,0,2,2,35,32766,8,32766,,32766,,87,32766,328,11,72,41,9334,32766,32766,
50434,5030,12128,9936,1957,6,3,125,231,13,0,9,9,49,32766,18,32766,,32766,,67,32766,365,15,75,27,9292,32766,32766,
50434,5030,12128,9936,1957,6,4,131,230,29,32700,0,32700,73,32766,10,32766,,32766,,122,32766,389,33,65,15,9286,32766,32766,
50434,5030,12128,9936,1957,6,5,138,238,25,0,0,0,74,32766,13,32766,,32766,,137,32766,370,30,61,18,9292,32766,32766,
50434,5030,12128,9936,1957,6,6,140,252,17,0,0,0,65,32766,15,32766,,32766,,109,32766,423,19,64,21,9281,32766,32766,
50434,5030,12128,9936,1957,6,7,139,207,54,32700,8,8,54,32766,28,32766,,32766,,111,32766,340,55,67,39,9281,32766,32766,
50434,5030,12128,9936,1957,6,8,150,246,13,32700,0,32700,76,32766,18,32766,,32766,,135,32766,393,16,58,18,9282,32766,32766,
50434,5030,12128,9936,1957,6,9,149,264,-5,0,0,0,88,32766,30,32766,,32766,,123,32766,422,10,54,22,9242,32766,32766,
50434,5030,12128,9936,1957,6,10,167,253,51,0,32700,32700,60,32766,20,32766,,32766,,90,32766,428,55,56,32,9199,32766,32766,
50434,5030,12128,9936,1957,6,11,121,224,45,32700,37,37,27,32766,18,32766,,32766,,48,32766,335,44,80,53,9217,32766,32766,
50434,5030,12128,9936,1957,6,12,143,194,83,5,1,6,41,32766,20,32766,,32766,,65,32766,359,74,70,46,9217,32766,32766,
50434,5030,12128,9936,1957,6,13,152,252,1,0,0,0,65,32766,15,32766,,32766,,138,32766,434,14,61,28,9260,32766,32766,
50434,5030,12128,9936,1957,6,14,168,272,55,5,32700,5,50,32766,23,32766,,32766,,48,32766,433,50,70,39,9237,32766,32766,
50434,5030,12128,9936,1957,6,15,177,230,102,0,32700,32700,52,32766,20,32766,,32766,,71,32766,384,90,68,41,9261,32766,32766,
50434,5030,12128,9936,1957,6,16,146,258,1,0,0,0,75,32766,8,32766,,32766,,145,32766,448,9,60,18,9300,32766,32766,
50434,5030,12128,9936,1957,6,17,131,229,23,0,6,6,47,32766,13,32766,,32766,,117,32766,447,23,75,40,9231,32766,32766,
50434,5030,12128,9936,1957,6,18,122,207,-6,0,0,0,59,32766,15,32766,,32766,,144,32766,462,-16,58,30,9240,32766,32766,
50434,5030,12128,9936,1957,6,19,136,223,5,0,32700,32700,66,32766,13,32766,,32766,,131,32766,484,-14,55,28,9232,32766,32766,
50434,5030,12128,9936,1957,6,20,129,239,-3,32700,16,16,50,32766,8,32766,,32766,,76,32766,499,-15,66,30,9262,32766,32766,
50434,5030,12128,9936,1957,6,21,126,208,90,2,83,85,29,32766,10,32766,,32766,,19,32766,368,86,88,65,9284,32766,32766,
50434,5030,12128,9936,1957,6,22,115,200,58,77,22,99,40,32766,23,32766,,32766,,36,32766,326,57,83,43,9279,32766,32766,
50434,5030,12128,9936,1957,6,23,119,160,72,50,20,70,19,32766,23,32766,,32766,,0,32766,273,69,82,63,9287,32766,32766,
50434,5030,12128,9936,1957,6,24,102,135,84,7,32700,7,19,32766,38,32766,,32766,,3,32766,198,84,86,69,9298,32766,32766,
50434,5030,12128,9936,1957,6,25,113,145,89,19,32700,19,26,32766,33,32766,,32766,,0,32766,214,90,85,70,9303,32766,32766,
50434,5030,12128,9936,1957,6,26,109,193,26,0,0,0,36,32766,13,32766,,32766,,58,32766,347,31,83,46,9319,32766,32766,
50434,5030,12128,9936,1957,6,27,135,220,29,0,0,0,46,32766,10,32766,,32766,,64,32766,388,40,79,45,9275,32766,32766,
50434,5030,12128,9936,1957,6,28,152,224,85,0,5,5,45,32766,8,32766,,32766,,61,32766,380,90,83,50,9218,32766,32766,
50434,5030,12128,9936,1957,6,29,137,223,56,0,10,10,57,32766,13,32766,,32766,,107,32766,396,50,78,44,9192,32766,32766,
50434,5030,12128,9936,1957,6,30,135,204,80,0,0,0,70,32766,30,32766,,32766,,114,32766,414,55,61,36,9207,32766,32766,
50434,5030,12128,9936,1957,7,1,113,183,23,0,42,42,24,32766,13,32766,,32766,,43,32766,322,10,83,54,9184,9195,9171,
50434,5030,12128,9936,1957,7,2,134,183,102,9,5,14,26,32766,10,32766,,32766,,17,32766,347,106,89,69,9168,9179,9155,
50434,5030,12128,9936,1957,7,3,147,187,121,32700,180,180,20,32766,18,32766,,32766,,0,32766,259,121,87,74,9170,9199,9160,
50434,5030,12128,9936,1957,7,4,157,197,121,20,78,98,20,32766,8,32766,,32766,,24,32766,330,123,88,72,9220,9244,9198,
50434,5030,12128,9936,1957,7,5,160,232,103,13,36,49,43,32766,10,32766,,32766,,57,32766,398,113,85,55,9235,9248,9219,
